allmb_name	gbif_species_key	num_occurrences	myco_state
Ficus_pancheriana	5570033	33	arbuscular
Ficus_pilosa	5361914	1159	arbuscular
Ficus_pritchardii	5572126	149	arbuscular
Ficus_pulchella	5571905	161	arbuscular
Ficus_rubescens			arbuscular
Ficus_rubra	5571221	160	arbuscular
Ficus_scabra	5570907	305	arbuscular
Ficus_schultesii	5570827	114	arbuscular
Ficus_smithii			arbuscular
Ficus_storckii	5570151	319	arbuscular
Ficus_trianae	5572292	132	arbuscular
Ficus_turrialbana	5572008	118	arbuscular
Ficus_uniauriculata	5571891	46	arbuscular
Ficus_velutina	5571745	881	arbuscular
Ficus_versicolor	5571684	59	arbuscular
Ficus_vieillardiana	5571633	99	arbuscular
Ficus_vitiensis	5571527	73	arbuscular
Ficus_ypsilophlebia	5571275	80	arbuscular
Antiaris_toxicaria	7262663	4287	arbuscular
Parartocarpus_venenosus	3766049	614	arbuscular
Broussonetia_papyrifera	5361944	6147	arbuscular
Maclura_tinctoria	2984583	4886	arbuscular
Morus_alba	5361889	10626	arbuscular
Perebea_guianensis	7262696	1494	arbuscular
Milicia_excelsa	3763589	2804	arbuscular
Sparattosyce_dioica	3762446	167	arbuscular
Pseudolmedia_laevis	3764170	1834	arbuscular
Clarisia_biflora	7262852	1961	arbuscular
Helianthostylis_sprucei	3765057	635	arbuscular
Elatostema_parvum_var._parvum	7300859	261	arbuscular
Elatostema_platyphyllum	7300825	498	neither
Myriocarpa_longipes	7300750	1527	neither
Urtica_urens	5361815	73465	neither
Urera_glabra	2984330	372	arbuscular
Urera_caracasana	2984335	2936	neither
Urera_simplex	4098366	956	neither
Urera_capitata	7300641	359	neither
Urera_acuminata	8126318	125	neither
Urera_nitida	4098735	460	neither
Poikilospermum_suaveolens	4013131	506	neither
Touchardia_latifolia	2984457	482	neither
Boehmeria_zollingeriana	7300724	788	arbuscular
Boehmeria_cylindrica	2984345	5641	neither
Boehmeria_platyphylla	4100434	2776	neither
Boehmeria_glomerulifera	4099464	265	neither
Boehmeria_macrophylla	9053400	263	neither
Boehmeria_rugulosa	4098989	98	neither
Boehmeria_nivea	2984359	4105	neither
Boehmeria_caudata	7610513	3293	neither
Sarcochlamys_pulcherrima	4100697	80	neither
Debregeasia_saeneb	4099243	96	neither
Pouzolzia_occidentalis	2984385	283	neither
Pipturus_arborescens	4102074	446	neither
Pipturus_argenteus	6414892	3671	neither
Pipturus_albidus	7500826	1122	arbuscular
Cecropia_peltata	2984476	2630	neither
Myrianthus_arboreus	4013416	1162	neither
Trema_micrantha	7141666	12198	arbuscular
Ulmus_carpinifolia	5361865	127029	arbuscular
Ziziphus_mauritiana	3039424	4657	arbuscular
Alphitonia_excelsa	3039494	11835	arbuscular
Ceanothus_americanus	3039318	5714	arbuscular
Ceanothus_thyrsiflorus	3039379	1378	ecto
Jaffrea_xerocarpa	3877307	163	arbuscular
Discaria_chacaye	5602883	228	arbuscular
Discaria_articulata	7840245	79	arbuscular
Discaria_toumatou	5603124	1072	neither
Colletia_spinosissima	6371450	457	arbuscular
Rhamnus_alaternus	6371424	38398	arbuscular
Shepherdia_canadensis	5372427	5013	arbuscular
Elaeagnus_conferta	7293128	311	neither
Elaeagnus_umbellata	7752288	10896	neither
Elaeagnus_macrophylla	7293094	1401	neither
Elaeagnus_glabra_subsp._oxyphylla	7523246	750	neither
Elaeagnus_commutata	3039274	2701	arbuscular
Trifolium_repens	5358748	695678	arbuscular
Vicia_cracca	2975287	363202	arbuscular
Pisum_sativum	5347845	108308	arbuscular
Lathyrus_gmelinii	5356703	406	neither
Lathyrus_mulkak	5356444	81	arbuscular
Lathyrus_pisiformis	5356535	998	arbuscular
Lathyrus_odoratus	5356514	1741	arbuscular
Lens_culinaris	5350010	43906	arbuscular
Cicer_arietinum	2947311	90833	arbuscular
Astragalus_cicer	5343253	15429	arbuscular
Astragalus_glycyphyllos	5346998	60403	neither
Astragalus_frigidus	5343710	5865	neither
Astragalus_alopecias	5344165	109	arbuscular
Oxytropis_mertensiana	5361127	191	neither
Oxytropis_lambertii	5360970	2811	arbuscular
Oxytropis_savellanica	5361594	103	arbuscular
Oxytropis_latibracteata	5360828	21	arbuscular
Oxytropis_scammaniana	5361468	290	arbuscular
Oxytropis_immersa	5361274	51	arbuscular
Oxytropis_kubanensis	5360913	23	arbuscular
Eremosparton_flaccidum	2964866	28	neither
Carmichaelia_australis	5348429	2149	neither
Swainsona_phacoides	2943486	1595	arbuscular
Astragalus_filicaulis	8391325	223	arbuscular
Astragalus_macrostachys	5343620	55	arbuscular
